bruce,0.5526315789473685
lee,0.5483870967741935
the,0.5506024747392878
legend,0.6923076923076923
-,0.5250501002004008
baaaaaad,0.0
stylish,0.8
yet,0.48255813953488375
uneven,0.34782608695652173
film,0.5996672212978369
at,0.5591229444009397
an,0.6257175660160735
affordable,1.0
price.,0.6666666666666666
masterful,0.8620689655172413
and,0.5701570680628272
commanding,1.0
great,0.8008995502248876
special,0.4296028880866426
effects!!,1.0
disappointed,0.04878048780487805
with,0.5635
ending,0.41732283464566927
though.,0.5
bevare!,0.6666666666666666
dracula,0.6222222222222222
is,0.48674948240165633
suspect,0.6666666666666666
here!,0.6578947368421053
"wishy,1.0
washy,1.0
beginning,0.6103896103896104
a,0.5519817389499896
delicious,0.8823529411764706
that,0.48253741981468284
defies,1.0
classification,1.0
old,0.6005830903790087
grey,0.8333333333333334
gere,0.6666666666666666
ain't,0.3176470588235294
what,0.31733483907396953
he,0.5234899328859061
used,0.4090909090909091
to,0.4672951135051943
be!!!,0.0
unsatisfying,0.07692307692307693
sequel,0.4326923076923077
"""what,0.7142857142857143
wonderful,0.9040404040404041
day,0.6666666666666666
for,0.4958174904942966
exorcism....""",1.0
simply,0.6198830409356725
elegant,1.0
unintentionally,0.2222222222222222
hilarious,0.9047619047619048
one,0.6126907073509015
of,0.5821865443425076
films,0.6659751037344398
1999,0.26666666666666666
this,0.3782181885534358
short,0.4090909090909091
version,0.5099778270509978
film!,0.7318181818181818
summer,0.55
monkeys,0.6
rangers,0.3333333333333333
lead,0.4642857142857143
way,0.4730077120822622
definately,0.6111111111111112
5,0.6175438596491228
star,0.3642495784148398
film!!!,0.8235294117647058
flick!,0.8461538461538461
herbie,0.8
i,0.38592993449159785
don't,0.2742857142857143
believe....,1.0
town,0.7714285714285715
rising,0.7692307692307693
from,0.5409383624655014
ashes,0.6666666666666666
tragedy,0.627906976744186
show,0.6601466992665037
was,0.3314873417721519
ahead,0.6896551724137931
its,0.5540540540540541
time,0.4857142857142857
perfect,0.8453237410071942
quick,0.6896551724137931
pick,0.7777777777777778
me,0.42894393741851367
up,0.47227191413237923
cool,0.7596899224806202
spider,0.7142857142857143
movie,0.5105699306612549
best,0.8676874754613271
lethal,0.4444444444444444
weapon,0.5
by,0.4821705426356589
far!,0.6
stripped-live,1.0
in,0.5448397530138195
uk,0.5555555555555556
(stripped,1.0
tour,0.8648648648648649
2003),1.0
(2003),0.25
"how,0.32
depressing,0.20967741935483872
halloween,0.4177215189873418
series,0.6169064748201439
went,0.2857142857142857
brilliant,0.9219512195121952
average/mediocre,0.0
just,0.38591549295774646
'you,1.0
could,0.2991304347826087
fall,0.4153846153846154
love,0.7836734693877551
orangutan,1.0
that...',1.0
"i,0.35555555555555557
scream,0.5128205128205128
my,0.6018031555221638
praises,1.0
monsters,0.6666666666666666
artistic,0.7931034482758621
masterpiece,0.8844984802431611
"seminal,1.0
""film,0.3333333333333333
noir,0.8014705882352942
it's,0.4896694214876033
man,0.660377358490566
appeal,0.3157894736842105
goodness,0.5789473684210527
sake!,0.3333333333333333
perfectly,0.6666666666666666
fine,0.8047337278106509
until,0.4
next,0.5
absolutely,0.5462962962962963
movie!!!!,0.625
gilliam...,1.0
"""ah,0.5
better,0.5505716798592788
than,0.5666973321067157
even,0.29314420803782504
remember,0.5588235294117647
mother/daughter,1.0
dynamic,0.875
explored,1.0
pleasant,0.8863636363636364
surprise,0.9111111111111111
davy,0.5
jones,0.4666666666666667
strikes,0.4117647058823529
back,0.6174496644295302
comedy,0.695
steve,0.6129032258064516
carell,1.0
utterly,0.20967741935483872
disappointing,0.026748971193415638
"truly,0.6153846153846154
defines,0.5
meaning,0.7297297297297297
word,0.352112676056338
"",0.45454545454545453
surreal,0.9583333333333334
""",0.7096774193548387
country,0.6666666666666666
boy,0.5277777777777778
makes,0.5504587155963303
good.,0.3924050632911392
classic,0.8742004264392325
hybrid,0.6666666666666666
worth,0.5
owning!,0.5
remarkable,0.9583333333333334
into,0.5294117647058824
woods,0.2777777777777778
buy,0.3153846153846154
movie!,0.7486338797814208
woody,0.6
allen!,1.0
first-,1.0
not,0.24650303510160992
last,0.6268656716417911
closer,0.6666666666666666
truth,0.6781609195402298
warren,0.8333333333333334
commission,1.0
over,0.43804034582132567
top,0.7867298578199052
extreme,0.4074074074074074
violence...,0.6
nostalgia.,1.0
enter,0.45161290322580644
dragon,0.6956521739130435
bloddy,1.0
gorefest,0.5
will,0.6282051282051282
truly,0.6476190476190476
dialate,1.0
your,0.43886861313868614
pupils,1.0
dr.,0.7346938775510204
evil's,1.0
overrated,0.012244897959183673
rock,0.6942148760330579
dead,0.398876404494382
superbly,1.0
hilarious!,0.9117647058823529
ultimate,0.8695652173913043
action,0.7
kubrick,0.6470588235294118
greatest,0.9122257053291536
director?,1.0
astonishingly,0.2
bad;,0.0
2,0.34130434782608693
hours,0.2
dumb,0.10344827586206896
people,0.3793103448275862
doing,0.2777777777777778
things,0.5227272727272727
good,0.60109103307194
bad,0.14880201765447668
undoubtedly,1.0
most,0.6007677543186181
consistent,0.75
adaptation...,0.5
blu-ray,0.5233160621761658
money,0.13291139240506328
truer,1.0
you,0.5431472081218274
think,0.448
bueller,1.0
anyone,0.3888888888888889
[is,0.0
weak]!,0.0
date,0.7619047619047619
really,0.36645962732919257
did,0.2750809061488673
want,0.4503311258278146
like,0.42361761949390814
show.,0.5217391304347826
angels,0.7037037037037037
dirty,0.75
faces,0.7777777777777778
